champion,kills,deaths,assists,gold,damage,win,duration
Strawberry_Leona,0,0,0,4133,29081342,1,993
Strawberry_Briar,0,1,0,4133,14916858,1,993
Strawberry_Yasuo,0,1,0,1167,1465225,0,341
Strawberry_Briar,0,3,0,1167,957422,0,341
Strawberry_Yasuo,0,0,0,7622,40265560,1,1002
Strawberry_Yasuo,0,1,0,1986,4063859,0,526
Strawberry_Yasuo,0,1,0,4806,18702692,1,1054
Strawberry_Leona,0,1,0,4806,8855770,1,1054
Strawberry_Illaoi,0,1,0,9056,15673284,0,1020
Strawberry_Illaoi,0,2,0,9056,12643290,0,1020
Strawberry_Leona,0,0,0,3569,6993080,1,920
Strawberry_Xayah,0,0,0,3569,6210449,1,920
Strawberry_Seraphine,0,0,0,6723,22957120,1,976
Strawberry_Yasuo,0,1,0,6723,33046098,1,976
Strawberry_Illaoi,0,0,0,5764,17739180,1,1044
Strawberry_Seraphine,0,4,0,5764,12710503,1,1044
Strawberry_Leona,0,0,0,5558,8793274,1,1065
Strawberry_Illaoi,0,0,0,5558,6427849,1,1065
Strawberry_Leona,0,1,0,3463,27690552,0,1205
Strawberry_Xayah,0,0,0,2453,5377614,1,924
Strawberry_Xayah,0,0,0,9235,30794576,1,1016
Strawberry_Briar,0,0,0,5389,18577870,1,968
Strawberry_Briar,0,2,0,4904,17523910,1,1323
Strawberry_Illaoi,0,8,0,4904,9009934,1,1323
Strawberry_Yasuo,0,0,0,9210,29942008,1,989
Strawberry_Leona,0,3,0,9210,8768302,1,989
Strawberry_Aurora,0,3,0,5588,29791756,0,1091
Strawberry_Leona,0,5,0,5832,14197911,0,1091
Strawberry_Jinx,0,2,0,4332,12501652,1,1024
Strawberry_Leona,0,3,0,4332,3358112,1,1024
Strawberry_Yasuo,0,1,0,728,437967,0,246
Strawberry_Leona,0,4,0,728,278233,0,246
Strawberry_Yasuo,0,0,0,3718,20366978,1,952
Strawberry_Yasuo,0,0,0,8119,26075158,1,946
Strawberry_Yasuo,0,0,0,5838,24523718,1,965
Strawberry_Yasuo,0,3,0,2027,3087021,0,472
Strawberry_Yasuo,0,1,0,1330,1707894,0,433
Strawberry_Aurora,0,0,0,4011,10052750,1,1130
Strawberry_Riven,0,0,0,5594,16291015,1,1009
Strawberry_Xayah,0,2,0,5736,14102083,1,995
Strawberry_Xayah,0,4,0,3687,6696392,0,856
Strawberry_Xayah,0,3,0,467,319379,0,231
Strawberry_Yasuo,0,1,0,1804,1549770,0,428
Strawberry_Yasuo,0,2,0,4102,13864036,1,1039
Strawberry_Yasuo,0,3,0,3529,13423346,0,1079
Strawberry_Yasuo,0,1,0,2971,24101420,1,964
Strawberry_Yasuo,0,1,0,3903,26518028,0,924
Strawberry_Yasuo,0,2,0,495,248164,0,278
Strawberry_Yasuo,0,0,0,4077,21825588,1,951
Strawberry_Yasuo,0,1,0,682,493756,0,274
Strawberry_Illaoi,0,1,0,2446,10015759,1,988
Strawberry_Illaoi,0,0,0,2520,5699260,1,947
Strawberry_Yasuo,0,1,0,776,1217865,0,321
Strawberry_Leona,0,0,0,4997,10880630,1,1141
Strawberry_Seraphine,0,0,0,3393,6951021,1,946
Strawberry_Yasuo,0,1,0,514,984118,0,419
Strawberry_Yasuo,0,3,0,3020,34004780,0,968
Strawberry_Yasuo,0,1,0,253,365681,0,243
Strawberry_Yasuo,0,3,0,2303,17088578,1,1096
Strawberry_Yasuo,0,2,0,894,876819,0,442
Strawberry_Jinx,0,6,0,3548,8354382,0,1103
Strawberry_Leona,0,7,0,3548,4427705,0,1103
Strawberry_Seraphine,0,0,0,3671,7073486,1,955
Strawberry_Jinx,0,0,0,3978,6644363,1,955
Strawberry_Yasuo,0,4,0,1126,1052911,0,461
Strawberry_Jinx,0,5,0,1220,522370,0,461
Strawberry_Yasuo,0,6,0,3931,16063990,0,1013
Strawberry_Briar,0,7,0,4258,6028224,0,1013
Strawberry_Yasuo,0,2,0,314,289473,0,243
Strawberry_Briar,0,3,0,341,165018,0,243
Strawberry_Yasuo,0,2,0,431,244761,0,255
Strawberry_Seraphine,0,3,0,468,241444,0,255
Strawberry_Yasuo,0,1,0,446,607913,0,318
Strawberry_Seraphine,0,5,0,483,160830,0,318
Strawberry_Yasuo,0,4,0,2890,9213329,1,1094
Strawberry_Leona,0,9,0,2770,2153165,1,1094
Strawberry_Briar,0,1,0,2377,8035685,1,1029
Strawberry_Illaoi,0,3,0,2206,7954146,1,1029
Strawberry_Seraphine,0,0,0,2095,5013986,1,966
Strawberry_Briar,0,0,0,1721,3700877,1,966
Strawberry_Leona,0,2,0,2561,6689475,1,1174
Strawberry_Seraphine,0,12,0,2135,4372251,1,1174
Strawberry_Yasuo,0,2,0,179,236040,0,208
Strawberry_Seraphine,0,3,0,150,144074,0,208
Strawberry_Leona,0,1,0,472,886575,0,424
Strawberry_Yasuo,0,3,0,394,373146,0,424
Strawberry_Yasuo,0,2,0,158,217626,0,201
Strawberry_Briar,0,1,0,132,142919,0,201
Strawberry_Yasuo,0,1,0,54,90509,0,116
Strawberry_Seraphine,0,1,0,45,10680,0,116
Strawberry_Yasuo,0,1,0,122,139566,0,180
Strawberry_Jinx,0,3,0,102,95060,0,180
Strawberry_Yasuo,0,4,0,2670,22824874,1,1038
Strawberry_Briar,0,2,0,2428,5326976,1,1038
Strawberry_Yasuo,0,1,0,1642,11794352,1,973
Strawberry_Leona,0,1,0,1568,1866705,1,973
Strawberry_Yasuo,0,0,0,972,7071188,1,994
Strawberry_Seraphine,0,2,0,959,2085082,1,994
Strawberry_Illaoi,0,0,0,1131,13328737,1,1122
Strawberry_Briar,0,2,0,756,5436856,0,822
Strawberry_Jinx,0,4,0,1512,8597757,1,1018
Strawberry_Jinx,0,0,0,2199,4094104,1,1049
Strawberry_Jinx,0,1,0,765,2772650,0,1028
RekSai,9,1,4,7211,100954,1,838
Rell,3,0,27,9610,42368,1,1093
Rakan,12,0,15,9363,80069,1,1140
Quinn,6,1,2,8283,70565,1,806
Skarner,10,2,13,8365,100925,1,1069
Taliyah,7,2,3,8786,141427,1,963
Rengar,14,0,4,10272,125162,1,887
Milio,15,0,13,12842,93552,1,1229
Vi,10,0,5,8331,94876,1,942
Xerath,8,1,18,10727,99382,1,987
Yorick,17,0,2,13021,115087,1,880
Zed,10,0,4,10567,121785,1,1072
Zyra,26,0,8,10796,91261,1,929
Zac,4,0,14,6446,100205,1,877
Hwei,13,0,3,10079,95919,1,980
Gragas,26,0,1,15257,181855,1,1223
Samira,22,8,2,22217,281551,0,2076
Samira,3,7,5,7279,60754,0,1103
Jinx,10,12,28,15462,112373,0,1309
Ahri,8,2,27,10182,49128,1,742
Volibear,9,8,3,13852,202208,0,1811
Corki,36,10,24,22259,181903,1,1259
Leblanc,14,11,31,16670,104394,1,1287
Yone,21,9,16,18164,135314,1,1099
Fizz,19,16,16,18807,122140,0,1356
Mordekaiser,14,10,34,15730,119847,1,1164
Urgot,8,3,10,20834,310276,0,2374
Urgot,0,0,0,581,1486,0,131
Jhin,10,2,3,18229,304276,1,2081
Samira,10,0,1,8148,57456,1,928
Smolder,17,8,36,19965,235763,1,1485
Urgot,12,7,1,18097,207300,0,1918
Mordekaiser,8,3,0,13116,166441,1,1449
Illaoi,5,1,2,14924,235935,1,1647
Kayle,3,6,1,7266,72647,0,1406
Illaoi,2,3,2,12282,192675,1,1597
Volibear,4,8,6,10364,199550,0,1855
Viktor,8,4,9,13608,165821,1,1689
XinZhao,12,0,3,8474,94054,1,868
Kayn,12,0,6,8514,81326,1,817
Ezreal,24,0,15,10688,100832,1,847
Volibear,19,1,8,10141,124265,1,960
MasterYi,21,0,3,14052,198119,1,1068
Kindred,16,0,8,8943,129090,1,958
Illaoi,1,0,1,8623,140166,1,1140
DrMundo,9,6,4,15917,237224,0,1901
DrMundo,1,6,1,8326,107239,0,1383
Akshan,4,3,6,8015,88607,0,1174
Rammus,0,6,1,5514,123184,0,1212
Pantheon,4,1,9,7717,32678,1,1386
Kayle,23,5,28,20521,205198,1,1323
Kayn,8,6,15,18152,393530,1,2245
Kayn,8,8,6,17024,466815,0,2458
DrMundo,5,12,4,15090,256024,0,2051
Jhin,35,12,26,28931,401873,1,1653
Taliyah,25,6,27,17186,149703,1,1031
Illaoi,4,2,3,10591,168804,1,1332
Smolder,10,3,6,15672,233646,1,1884
Janna,2,6,13,8871,33231,1,1884
Warwick,5,5,8,12911,155796,0,2180
Chogath,14,1,12,17296,229704,1,1874
Malphite,11,7,7,14117,165590,1,1746
Volibear,5,10,7,12553,167676,1,1899
Trundle,4,8,0,13652,161935,0,1448
Gwen,9,1,6,13633,218262,1,1525
Urgot,6,3,1,9336,84074,1,1217
Illaoi,6,10,7,13694,226511,1,2012
Illaoi,3,0,0,7670,87539,1,912
Nasus,13,2,10,18140,229724,1,1860
Nasus,8,0,3,10334,117378,1,1198
Mordekaiser,2,7,0,7576,83664,0,1273
Urgot,21,10,7,21399,254905,0,2297
Ornn,9,8,15,15627,180904,1,2169
Nasus,5,3,7,11858,165774,1,1639
Nasus,0,0,0,693,1493,1,140
Urgot,9,5,8,20759,332981,1,2656
Illaoi,8,6,3,18815,326178,0,2293
Urgot,21,13,7,23839,310537,0,2439
DrMundo,5,7,11,19065,313063,0,2466
Illaoi,7,7,8,13115,177533,0,1657
Swain,1,14,8,6330,31246,0,1657
Illaoi,23,9,8,21631,293970,1,2073
Taric,2,10,23,10010,29302,1,2073
Urgot,7,5,7,13904,193148,1,1577
Nautilus,2,1,12,7815,17605,1,1577
DrMundo,1,7,4,14452,249957,0,2295
Morgana,1,8,6,9449,58237,0,2295
DrMundo,13,0,7,19160,307293,1,2017
Braum,1,7,12,8221,17166,1,2017
Maokai,6,5,4,11627,158854,0,1899
DrMundo,2,3,2,13272,191879,0,1694
Urgot,14,3,5,22914,335742,1,2158
Urgot,14,7,2,18430,224304,1,1833
Malphite,5,0,13,11314,130699,1,1351
DrMundo,8,3,3,13676,175773,1,1466
Sion,4,9,7,14101,212193,0,1991
Mordekaiser,8,5,4,15615,221739,1,1901
Malphite,4,1,4,9439,98568,1,1316
DrMundo,10,2,14,14731,221710,1,1651
Malphite,2,5,10,12833,178106,1,2036
Urgot,13,8,12,19135,286649,0,2101
Yasuo,5,13,6,13117,201636,0,2101
DrMundo,0,0,0,500,0,0,105
Yasuo,0,0,0,535,599,0,105
Urgot,8,7,1,16580,249429,0,2156
DrMundo,6,4,8,14122,211400,1,1776
Illaoi,7,3,0,13264,173598,0,1394
Rammus,1,7,1,6519,111857,0,1394
Thresh,0,8,3,6933,24253,0,1806
Mordekaiser,17,1,7,18364,222493,1,1685
Chogath,1,5,0,5350,46988,0,912
Mordekaiser,8,3,2,11436,126877,1,1432
Chogath,6,8,4,17348,264655,0,2164
DrMundo,6,0,4,13639,208839,1,1569
Illaoi,12,6,3,15583,270652,1,1651
Varus,27,14,5,22494,303265,0,2785
Akshan,19,10,5,18921,157765,0,1898
Chogath,1,4,1,7728,103136,0,1280
Chogath,15,2,7,19102,272703,1,1970
DrMundo,5,4,5,12051,195760,0,1588
Mordekaiser,18,4,7,22116,280887,1,2167
Malphite,5,1,4,9929,97750,0,1340
Chogath,0,2,0,6364,99578,1,1012
Illaoi,11,2,0,16891,289190,1,1829
Chogath,4,5,10,9325,102011,0,1841
Morgana,0,5,16,8031,34896,0,1763
Swain,1,5,3,4360,18617,0,964
Kayn,9,7,10,14243,280452,1,1842
Aatrox,6,12,23,11226,57344,1,952
Akshan,5,11,26,11798,67581,1,952
Nocturne,5,11,9,11211,180111,1,1863
Veigar,11,6,14,16701,215512,1,1863
Malphite,13,11,17,23348,395160,1,2803
Rammus,12,9,21,19619,332669,1,2803
Chogath,14,5,6,17821,218423,1,2015
Urgot,13,7,6,19092,249055,0,2059
Malphite,9,4,4,13140,170796,0,1581
DrMundo,6,0,7,14790,212780,1,1531
Akshan,21,6,4,24348,373274,1,2488
Illaoi,10,4,5,16772,287651,1,1828
DrMundo,14,5,11,19760,339077,1,2197
Illaoi,12,4,4,15621,222776,1,1621
DrMundo,11,4,12,17303,262830,1,1679
DrMundo,4,0,1,10417,131995,1,1156
Akshan,0,0,0,606,1449,0,121
DrMundo,13,5,7,17066,270595,1,1986
Akshan,11,14,7,15011,172773,1,2020
DrMundo,7,10,3,16509,247123,0,1951
Chogath,3,4,6,10974,131776,1,1538
DrMundo,3,5,8,11599,176321,1,1587
Chogath,5,5,2,6117,82158,0,1033
Caitlyn,3,6,0,5101,46619,0,1033
Karma,0,6,2,3914,17668,0,1033
Nunu,8,9,8,10832,176942,0,1860
Aatrox,6,6,5,11598,158306,0,1860
Ziggs,7,5,7,13985,240466,0,1860
Yasuo,5,8,8,10321,140373,0,1570
TahmKench,7,4,5,11528,116291,0,1771
TahmKench,11,4,10,14518,146507,1,1724
Urgot,23,6,9,24942,329487,0,2427
Kayle,16,3,7,18507,238920,1,1839
Morgana,10,6,25,14165,88127,0,1228
Karthus,15,7,10,14694,101317,0,1103
Nunu,14,12,28,17684,115042,1,1497
Cassiopeia,15,9,30,17981,157588,0,1480
Kayle,8,5,10,12982,97647,0,1077
Cassiopeia,13,3,19,14034,90316,1,1095
Kayle,11,2,3,19994,260683,1,1952
Mordekaiser,30,8,16,24951,305948,1,2595
DrMundo,9,3,1,13863,184683,1,1553
DrMundo,5,3,15,14195,205379,1,2040
Malphite,10,1,0,10110,93475,1,1130
Urgot,7,10,1,13886,193440,0,1807
Sion,4,10,4,10624,163771,0,1641
Sion,15,10,6,20534,322805,0,2322
Chogath,8,6,5,14133,180905,1,1796
Mordekaiser,14,6,1,16759,220850,0,1870
Sion,3,8,9,17370,356025,0,2707
Senna,6,5,18,9583,49296,1,1384
Ornn,2,5,0,11036,174886,0,1750
Teemo,13,4,1,15295,191277,1,1684
Volibear,6,5,8,13352,201139,1,1811
Malphite,5,5,12,11917,131559,1,1789
Mordekaiser,9,2,6,13028,169076,1,1412
DrMundo,6,4,4,12345,155967,1,1629
DrMundo,1,3,9,10836,153192,1,1494
DrMundo,9,3,7,14105,216851,1,1613
Illaoi,5,3,2,10418,167838,1,1398
Nasus,7,3,1,11522,159836,0,1428
Kayle,7,2,4,11885,143077,1,1420
Nasus,9,5,10,17350,246372,1,1963
DrMundo,6,0,3,11007,127742,1,1158
Kayle,9,3,1,13999,210457,1,1614
Nasus,10,1,8,14715,202574,1,1569
Kayle,7,8,14,21251,398462,0,2415
Kayle,11,0,1,15710,200005,1,1629
Chogath,7,7,8,18007,268120,1,2185
Urgot,3,0,0,8307,95797,1,923
DrMundo,12,0,4,12469,134424,1,1212
Kayle,10,1,6,13664,145436,1,1316
Ornn,7,5,3,16285,267378,0,2282
Kayle,4,3,2,9641,112973,1,1291
Kayle,7,0,1,11274,144015,1,1287
Mordekaiser,12,2,7,15479,213568,1,1525
Mordekaiser,12,9,11,16231,232333,1,1959
DrMundo,6,5,5,17333,248986,0,1917
DrMundo,12,5,6,17040,240329,1,1784
DrMundo,12,3,5,16580,232713,1,1494
DrMundo,0,0,0,505,748,0,105
Kayn,21,1,4,13948,272224,1,1328
Kayle,12,0,5,13647,156619,1,1370
Illaoi,6,8,2,13930,227107,1,1724
DrMundo,5,1,1,11419,154383,1,1319
Yone,7,13,8,14753,83252,1,1386
Ezreal,22,7,16,19338,183514,1,1386
Gwen,11,15,25,14718,62741,0,1419
Brand,16,8,39,17947,130694,0,1419
Lulu,4,6,23,9352,12624,0,872
Pyke,16,6,16,12226,36692,0,872
Pantheon,7,8,15,10268,27297,0,1008
MissFortune,4,9,22,10132,64155,0,1008
Volibear,9,4,7,23500,63444,1,1143
Mordekaiser,8,6,8,23500,89963,1,1143
Sett,6,7,6,20160,54079,1,970
Urgot,9,6,5,20150,44364,1,970
Sett,5,6,6,20150,42478,1,949
Urgot,10,5,4,20180,42441,1,949
Mordekaiser,7,7,2,16450,46389,0,925
Urgot,4,5,4,16480,24731,0,925
Mordekaiser,4,5,5,22958,60605,1,848
Urgot,14,1,2,23085,54497,1,848
Sett,1,7,3,12765,45105,0,952
Urgot,5,6,2,12780,37622,0,952
Sett,6,3,11,20150,49525,1,855
Urgot,11,2,5,20150,49027,1,855
Sett,6,3,9,20166,64430,1,882
Urgot,12,0,6,20190,57759,1,882
Xerath,2,6,5,15750,43042,0,919
Urgot,7,5,2,15750,70903,0,919
Darius,1,7,3,12400,49464,0,982
Kayn,3,6,2,12972,38355,0,982
Mordekaiser,5,6,4,16118,57326,0,847
Kayn,4,6,4,16119,46703,0,847
Darius,2,7,5,15400,88148,0,1019
Urgot,5,6,2,15400,91173,0,1019
Darius,3,7,6,16121,37255,0,868
Singed,6,5,4,16172,59612,0,868
Talon,3,7,2,18400,44586,0,999
Gragas,5,5,3,18400,40033,0,999
Thresh,2,6,8,20885,30718,0,915
Brand,10,4,2,21146,88968,0,915
Volibear,3,5,6,19803,18864,1,874
Sett,10,4,3,19838,38513,1,874
Mordekaiser,5,7,2,15414,54862,0,818
Kayn,2,6,3,15430,48530,0,818
Aatrox,3,8,7,19100,79764,1,979
Kayn,8,6,3,20120,101699,1,979
Aatrox,2,7,7,19900,71097,1,958
DrMundo,10,6,2,19945,115356,1,958
AurelionSol,6,5,4,16100,74779,0,922
Lux,4,5,4,16100,56593,0,922
Nami,1,7,38,9288,14747,1,851
Sion,8,5,30,11530,50718,1,851
Pantheon,19,12,16,16669,74731,1,1404
Xerath,9,7,42,16582,100878,1,1404
Yuumi,0,7,42,14275,27907,0,1610
Lulu,12,16,19,18568,189080,0,1610
Kindred,2,0,2,2400,2392,1,132
Veigar,2,0,3,2503,2776,1,132
Veigar,10,5,27,13833,93376,1,1095
Irelia,10,17,19,13166,84640,0,1233
Lux,12,4,27,15555,131692,0,1233
Gangplank,24,14,30,19932,171069,0,1523
Leona,3,16,35,14448,57210,0,1523
Chogath,6,1,2,14646,217256,1,1868
Kindred,5,4,6,11704,238666,1,1868
Malphite,4,1,3,7300,62745,1,953
Rammus,2,0,3,4906,64771,1,953
Ornn,8,1,15,15706,196990,1,1926
Xerath,7,5,8,10784,62126,1,1926
Malphite,10,3,11,14464,130397,1,1733
Veigar,7,12,4,11201,95607,1,1733
DrMundo,19,3,12,18858,263000,1,1867
Rammus,6,9,13,10012,97937,1,1867
Evelynn,12,9,19,13402,46590,1,1196
Sion,7,10,33,14772,75872,1,1196
Ornn,4,12,28,9105,26450,0,839
Vayne,21,10,19,13803,70737,0,839
Fizz,2,8,22,8199,17011,1,837
Twitch,17,5,23,13264,62949,1,837
Seraphine,0,6,12,7401,12310,0,809
Morgana,4,4,14,9008,35145,0,809
Nunu,12,15,19,14260,58513,1,1203
DrMundo,3,13,26,12817,72588,1,1203
Jax,8,21,18,15242,57923,0,1649
Morgana,12,9,33,19684,136611,0,1649
Varus,8,13,23,13990,64464,1,1341
Chogath,17,7,25,16652,148667,1,1341
Darius,4,16,27,13278,35067,1,1424
Varus,18,10,33,19103,141840,1,1424
Sona,3,5,39,10442,15874,1,972
Ahri,18,4,27,13839,80616,1,972
Pantheon,16,17,19,18422,77032,1,1629
Mordekaiser,21,13,35,22091,199361,1,1629
Vex,9,12,24,12024,56297,0,1089
Amumu,10,13,20,13362,49046,0,1089
Aatrox,3,10,14,11024,41059,1,1044
Vladimir,22,8,14,16554,81719,1,1044
Kindred,29,13,18,19165,88511,1,1242
Vladimir,26,11,27,18913,114096,1,1242
Leona,2,12,40,12947,41819,1,1259
Soraka,3,3,58,14672,52976,1,1259
Morgana,9,6,28,14035,83772,1,1231
Maokai,5,9,16,10219,37156,0,1040
Ezreal,12,5,15,13371,81135,1,1022
Lillia,7,15,38,14604,84086,1,1469
Neeko,3,6,4,7295,31896,0,1436
Yorick,1,9,3,9886,134453,0,1768
Neeko,11,6,4,15500,61662,0,1498
Zilean,1,6,0,6015,14477,0,1342
Elise,3,8,4,7988,20983,0,1543
Heimerdinger,1,6,0,6000,11373,0,1326
Syndra,1,7,2,6773,19515,0,1542
Aurora,0,6,2,3750,12466,0,1249
Ziggs,2,13,9,15376,267237,0,2157
Ziggs,5,5,3,12800,175603,0,1672
Ahri,5,8,4,12111,188287,0,1916
Karthus,9,15,30,16526,105261,0,1515
Seraphine,5,4,10,5143,17067,0,389
Blitzcrank,3,10,19,7414,16713,0,743
Brand,8,7,2,10749,23546,0,1090
Karma,1,6,2,10753,16519,0,1470
Nidalee,8,7,28,12454,55294,0,1124
Thresh,7,15,45,15896,56834,1,1551
Jinx,3,6,8,13250,25887,1,1180
Blitzcrank,6,8,21,12065,21096,1,1203
Volibear,11,12,22,13557,64987,1,1302
Taliyah,15,17,31,17422,98764,1,1512
Lucian,14,11,33,14889,74078,0,1366
Seraphine,8,9,31,11934,56986,0,1099
Jinx,15,13,29,21545,175734,1,1934
TwistedFate,3,11,18,10789,61991,0,1141
Lucian,6,10,31,10917,47207,0,1068
Irelia,5,16,22,12499,60224,0,1252
Braum,6,4,11,13500,28357,1,1317
Karthus,13,8,10,23500,66261,1,1378
Neeko,4,4,12,14010,20648,1,1261
Malphite,3,3,1,8620,98364,1,1414
Velkoz,2,4,5,9602,97082,0,2046
Swain,3,7,4,9121,133887,0,1609
Neeko,9,11,20,16217,168547,0,3342
Milio,0,10,13,7507,20280,0,2044
Qiyana,6,9,5,10750,38440,0,1468
Azir,2,7,5,6756,12650,0,1355
TwistedFate,8,9,8,24682,56311,1,1359
Nautilus,2,6,5,7250,8144,0,1433
Soraka,2,14,58,16468,27090,0,1788
Garen,3,6,4,11012,137754,1,1615
Ashe,5,5,34,12991,52583,1,1178
Ahri,4,7,9,11564,170756,0,2043
Alistar,3,6,3,9750,17262,0,1546
Gragas,2,8,3,9000,18179,0,1322
Gnar,14,4,13,18555,67068,1,1465
Elise,12,6,1,10500,37873,0,1438
Taric,6,7,4,12750,22071,1,1442
Nami,3,5,17,9629,40604,0,2192
Cassiopeia,5,8,1,9265,15077,0,1425
FiddleSticks,4,6,0,6750,25861,0,1421
Poppy,11,6,12,13800,73181,1,1563
Seraphine,5,6,2,7006,24407,0,1435
Ezreal,0,4,3,4000,14080,0,1226
Shaco,0,6,0,5768,8102,0,1445
Garen,2,1,1,3940,26446,1,722
Elise,12,5,8,15780,76179,1,1471
Urgot,8,6,9,18250,95494,1,1570
Vayne,10,7,4,15750,48450,1,1494
Leblanc,2,7,0,10250,10715,0,1414
Lux,3,5,13,7441,38862,1,1401
Swain,1,2,3,4914,18511,0,1060
Ahri,5,7,9,9924,74944,1,1921
Syndra,7,4,2,18041,323072,0,2111
Malphite,2,8,2,6899,66917,0,1411
Neeko,7,9,5,12002,155041,0,1799
Velkoz,8,11,16,14650,172660,0,2865
Swain,13,4,18,13671,88062,1,1859
Ziggs,14,3,9,15645,232203,1,1839
Karma,1,4,2,3222,13457,0,705
Velkoz,4,6,5,7592,48652,0,1572
Neeko,3,4,20,11221,106489,1,2106
Lux,6,4,16,11437,118432,1,1965
Neeko,4,9,8,12133,124658,1,2480
Lux,1,4,7,7042,80791,0,1562
Lux,7,7,5,10637,77442,1,1964
Lux,0,0,0,521,195,0,108
Malphite,2,9,4,10896,127727,0,2069
Volibear,4,10,5,8622,151658,0,1606
Yorick,2,3,3,13357,194094,0,1599
Malzahar,5,14,16,19380,355465,1,2735
Malphite,12,8,33,18154,286623,0,2635
Pantheon,9,6,2,11125,95423,0,1519
Yuumi,1,5,7,6550,19803,0,1683
Milio,0,1,0,3504,11351,0,937
Veigar,4,8,4,9874,145786,0,1933
Soraka,0,2,2,4414,16817,0,1027
Ziggs,2,4,10,6114,53979,1,1115
Karma,1,4,22,10949,107296,0,2251
Hwei,2,11,10,10541,52075,0,1087
Nautilus,8,11,4,11578,53810,0,1087
Anivia,0,8,0,4897,44185,0,1167
Anivia,0,0,0,764,765,0,157
Vex,15,6,1,17277,222374,1,1764
Sona,3,1,8,9654,28628,1,912
Nami,11,7,14,11513,83642,0,1026
Nami,11,8,14,15523,106230,0,1236
Taric,7,10,19,14695,65621,0,1288
Ziggs,7,10,24,22810,414006,0,2967
Ziggs,5,4,2,7047,58370,1,869
Chogath,10,7,11,13106,144192,1,1888
Nami,1,4,27,9305,33721,1,1888
Lillia,1,8,1,7859,143932,0,1657
Milio,0,2,1,5951,20343,0,1657
Lux,2,3,8,6006,27160,1,1135
Senna,0,7,6,6002,19658,0,1355
Senna,5,15,19,11783,53454,0,2171
Senna,3,9,10,7894,32173,0,1443
Taliyah,1,2,0,4501,46675,0,921
Karma,1,5,0,6874,105343,0,1418
Senna,2,7,28,10746,42887,1,1888
Morgana,2,6,23,11022,79027,1,2150
Morgana,0,6,6,3770,5778,0,938
Morgana,0,0,0,500,304,1,108
Lux,6,4,11,10477,131837,1,1518
Veigar,5,7,12,15267,295312,0,1924
Ashe,3,5,22,9022,34610,0,914
MissFortune,11,13,12,14139,67585,0,1337
Lulu,2,5,12,7833,29991,0,1871
Janna,0,7,24,11244,31765,1,2519
Taric,0,3,18,6708,25182,1,1260
Lulu,3,2,20,8032,26385,1,1324
Lulu,4,1,24,9218,30810,1,1420
Lux,0,2,1,3688,17962,0,970
Lux,6,8,4,8915,60310,0,1625
Syndra,3,10,2,10371,137103,0,1710
Ziggs,3,8,6,13670,193584,1,1917
Lux,3,7,13,9355,62073,0,1993
Lux,2,5,18,11680,114126,1,2074
Senna,2,11,7,8969,31760,0,2020
Yorick,7,11,9,15360,213487,1,2090
Lillia,1,6,4,5701,114235,0,1155
Warwick,4,11,1,8766,165737,0,1742
Karthus,7,10,16,14881,336214,1,2163
Zyra,6,10,14,11296,220162,0,1798
Amumu,2,13,13,13293,292357,1,2363
Lillia,2,7,14,9634,196228,1,1675
Yorick,1,1,4,10480,140081,1,1331
Syndra,3,4,8,7370,42956,0,1276
Ziggs,12,5,12,17071,212208,1,1767
Vex,10,6,36,11301,73156,1,899
Seraphine,8,7,28,11797,56593,1,996
Syndra,0,0,1,2341,9969,0,678
Ziggs,12,7,20,16939,337109,0,2358
Leona,2,13,10,9744,63440,0,1984
Karma,0,1,8,4596,18167,1,983
Karma,5,5,23,10870,62955,1,2050
Karma,0,3,6,5404,28065,0,1400
Pantheon,12,12,20,14721,67154,1,1447
Blitzcrank,4,9,30,11281,28928,0,1166
Morgana,6,4,30,12848,57160,1,1189
Annie,4,3,13,6441,10118,0,635
Syndra,4,4,6,5825,22670,1,1105
Lux,11,6,10,18153,337598,0,2365
Yorick,2,8,8,17318,282886,1,2336
Ziggs,13,8,15,19941,293340,1,3141
Urgot,5,3,1,11158,147434,1,1381
Warwick,8,6,10,11451,183817,1,1602
Ziggs,6,13,18,19222,375351,1,2979
Syndra,2,2,13,8445,64569,1,1629
Zyra,3,2,8,8740,213037,1,1496
Karma,0,0,3,2407,6110,1,639
Karma,3,11,24,11749,57795,0,2598
Karma,5,12,15,12645,75975,0,1304
Caitlyn,20,9,22,14874,72750,1,1173
Ziggs,10,9,33,14515,86567,0,1316
Seraphine,0,0,2,2080,3368,1,141
Hwei,15,10,38,16125,101492,1,1329
Zyra,19,13,48,20494,158363,1,1760
Lux,12,9,31,16051,98059,1,1395
Renata,4,9,45,12479,36911,1,1214
Lulu,3,12,31,10976,24223,0,1145
Ezreal,14,10,28,15426,129452,0,1369
Syndra,3,3,14,5912,27456,1,520
Morgana,13,5,38,14330,65276,1,1183
Morgana,14,13,56,17624,87385,0,1661
Anivia,8,2,7,16258,235053,1,2386
Swain,24,12,44,21051,160622,1,1743
Malzahar,12,4,23,11493,53093,1,817
MissFortune,6,7,20,9825,70539,0,841
Vex,0,4,0,3523,43153,0,773
Zilean,1,5,10,10138,141236,1,2010
Ziggs,6,9,9,16434,304106,0,2593
Yorick,5,7,3,14447,217512,0,2029
Taric,0,10,11,5808,10847,0,1519
Taric,2,7,7,8119,27492,0,1968
Taric,0,4,4,5022,13620,0,1468
