champion,kills,deaths,assists,gold,damage,win,duration
Aurora,12,6,3,12054,56211,0,1645
Senna,3,9,9,14343,25944,0,1645
Yorick,7,6,2,9750,50858,0,1324
Belveth,2,8,5,9750,11775,0,1324
Seraphine,8,6,14,16766,94183,1,1411
Samira,9,6,8,13968,78657,1,1411
Sylas,22,5,5,20350,154224,1,1491
Lissandra,7,7,2,10250,54310,1,1491
Gragas,17,5,8,14260,107940,1,1369
Sion,10,1,15,17250,54519,1,1369
Ornn,11,5,4,13750,77710,1,1339
Hecarim,9,11,6,10750,33365,1,1339
Lulu,9,6,2,10000,66070,0,1320
Sion,2,5,2,4000,18165,0,1320
Veigar,4,7,2,7000,30195,0,1508
Gragas,2,6,4,7000,36066,0,1508
Morgana,2,7,2,7000,15166,0,1508
Shyvana,2,8,8,10786,57347,0,1447
Aurora,9,7,2,13264,82490,0,1447
Kindred,9,10,2,11150,165916,0,1446
Taric,2,6,9,12750,67749,0,1446
Pantheon,16,4,6,18756,92718,1,1339
Yorick,6,2,15,16262,140141,1,1339
Braum,3,6,9,10545,37920,1,1533
Mel,19,4,2,13895,194506,1,1533
Leona,3,5,15,13815,61303,1,1533
Cassiopeia,11,9,6,11510,57052,1,1529
Chogath,9,4,14,18565,111472,1,1529
JarvanIV,7,6,11,11535,39138,1,1529
Aphelios,20,3,4,19400,212078,1,1387
Rakan,4,3,20,22500,76563,1,1387
Yone,2,5,5,9500,31967,0,1387
Kalista,4,7,3,7276,46005,0,1256
Zyra,3,4,2,7025,29232,0,1256
Illaoi,2,7,3,7175,23282,0,1256
Viktor,19,4,7,18505,152255,1,1447
Sona,7,3,19,18515,51750,1,1447
Ornn,4,6,0,7000,30706,0,1447
Lissandra,0,8,4,7000,11239,0,1447
Lulu,7,7,1,13000,107632,0,1319
Yuumi,1,6,7,9750,10451,0,1319
Kennen,12,7,3,10750,68068,1,1169
Rengar,3,8,10,10755,16517,1,1169
Aatrox,4,6,2,11256,28083,0,1634
Rengar,2,13,3,6754,13572,0,1634
Sett,9,8,7,11000,105620,1,1626
Belveth,7,7,8,11000,33071,1,1626
Draven,1,7,2,10973,44450,0,1476
Azir,2,7,1,6752,20854,0,1476
Brand,2,6,0,11030,31245,0,1527
Akshan,0,6,2,6515,5696,0,1527
Tristana,12,6,10,22050,226080,1,1486
Vex,8,5,3,10000,30526,0,1486
Akshan,8,6,0,12400,110264,0,1473
Sejuani,5,7,7,10256,45179,1,1362
Zeri,2,6,0,6256,29822,0,1362
Seraphine,8,8,5,14500,32429,1,1362
Ashe,13,8,13,27250,206822,1,1453
Warwick,11,6,6,21300,157863,1,1453
Tryndamere,6,7,4,10500,34524,1,1453
Ornn,6,7,7,15140,63397,0,1428
TwistedFate,7,9,6,12156,74831,0,1428
Swain,12,6,6,11825,75865,0,1428
Kindred,6,10,5,10510,48490,0,1495
DrMundo,7,6,6,10505,56343,0,1495
Ziggs,5,6,7,10500,46935,0,1462
Mordekaiser,7,8,5,10500,86366,0,1462
Ornn,0,7,1,6000,18130,0,1390
Pyke,1,6,0,6009,22613,0,1390
Mordekaiser,8,6,6,10500,55142,1,1464
Veigar,6,6,8,10500,73412,1,1464
Brand,3,7,3,12795,60154,0,1497
Udyr,4,8,2,10050,142121,0,1497
Sett,4,5,7,14768,30935,0,1471
Lillia,9,6,4,10813,59011,0,1471
